id,url1,url2,confidence,recognized,responseTime,detectedUrl1,detectedUrl2,trained
19,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777339/qyllvfjqq9lrlqykf3cv.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777995/uxqphq3itw3cj1cjump8.jpg,0.814334333,1,3246,1,1,0
20,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777346/szcg66irz2gzmpnxholw.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777996/ejutjw93o2ole7a0mypw.jpg,0.802580357,1,63251,1,1,0
21,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777349/d58qzt6zikkwa7fzhizy.jpg,http://res.cloudinary.com/dnzfxbo7p/image/upload/v1520796511/21_A.png,0.711578965,1,3270,1,1,0
22,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777350/rratmdjocozvsyiklnft.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778001/yatlzhjirh1zylzunqbl.jpg,0.70045656,1,2578,1,1,1
23,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777354/zzz9049nold13qlgbi6u.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778002/aizp48spqcbmtwtbp5xa.jpg,0.7744923,1,2864,1,1,1
24,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777360/b9wok36gsuzwcnrjqu2v.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778004/ntleladhvigt4tjotwjb.jpg,,0,3289,1,1,1
25,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777365/w37oljv0swsmn0le3tud.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778006/kqq1z4kzdsc4eneibrbd.jpg,0.6293573,1,3318,1,1,0
26,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777367/jybcqdcmdnt8xjvlbaod.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778008/jshqrdkhzwojiirflrey.jpg,0.8042831,1,3998,1,1,1
27,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777379/mhdfieky6n0qspf47la9.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778010/pzkrygs2mwr4lyeoq40t.jpg,0.8043968,1,3371,1,1,1
28,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777387/bnc3eq5zhuw5aiq0uc0f.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778012/tecn6fgzi8fhlkog2zud.jpg,0.6785892,1,3246,1,1,0
29,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777389/lcho29dpi1ojdzzxvj2x.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778016/ftbdsoq5vjwpzcxxwj4g.jpg,0.8431536,1,3273,1,1,0
30,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777399/y0onn7ecelaap5ofylzl.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778020/ijowa9bzvvr3b4lbqryb.jpg,0.836869061,1,3326,1,1,0
31,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777401/dvem2olg98davflun1ce.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778022/pxpo8n5t1hwbijvrbbo2.jpg,0.7624815,1,3221,1,1,0
32,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777403/khaz5nskl04sruabnxte.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778024/mqsx9al4xqcfjmc7cj95.jpg,0.648974955,1,3144,1,1,0
33,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777405/czyg5idrfmlos9y3ydxk.png,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778026/cxiozllwhcaajkkt0dhm.jpg,0.6674068,1,3627,1,1,0
34,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777406/faqzjsngk7ukmxpolbig.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778028/aamsmn91mzoxciki86op.jpg,0.7292465,1,3363,1,1,1
35,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777415/xn3ttuureoutjcewlm3b.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778030/y6zdk7qa7w0gqc2suwlk.jpg,0.8332631,1,3323,1,1,1
36,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777419/qe5ol2vpcbodgrus0ily.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778033/t2dcddogvabcrsbeeodk.jpg,0.7027813,1,3233,1,1,1
37,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777422/ol9qrudmmnxwmjsx7kor.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778035/gkdnegtnezzkcd5sbeyn.jpg,0.8589207,1,3628,1,1,0
38,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777424/yl6rpbcey3ifb9asrtl6.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778037/zlnoz1cn8q93hhtkgles.jpg,0.6953761,1,3483,1,1,1
39,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777428/ushg5qvsbvbah23ssa2o.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778038/s2atwtsxjohodubggt2b.jpg,0.520012856,1,3142,1,1,1
40,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777437/ysnftslmcwgipokvs8jy.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778044/zuti0zzvh3nr8wabx0d2.jpg,0.830998361,1,63232,1,1,1
41,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520777443/c8cwchfthtzlvnqxgaor.jpg,https://res.cloudinary.com/dnzfxbo7p/image/upload/v1520778046/jn3cjcgkrbpsggcuxi65.jpg,0.7982781,1,3202,1,1,0
